station_id,date,time,pm25_aqi,pm25_value,pm10_aqi,pm10_value,o3_aqi,o3_value,co_aqi,co_value,no2_aqi,no2_value,so2_aqi,so2_value,aqi,aqi_param
02t,2026-09-01,00:00,31,17.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,PM25
08t,2026-09-01,00:00,40,20.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,PM25
100t,2026-09-01,00:00,24,14.4,20,39,6,9,0,0.00,3,6,0,0,24,PM25
101t,2026-09-01,00:00,14,8.1,9,18,-1,-1,19,3.30,1,2,0,1,19,CO
102t,2026-09-01,00:00,21,12.8,13,25,-1,-1,-1,-1,-1,-1,-1,-1,21,PM25
103t,2026-09-01,00:00,13,7.8,15,29,-1,-1,1,0.20,3,6,0,0,15,PM10
104t,2026-09-01,00:00,16,9.8,-1,-1,11,15,1,0.10,0,1,0,0,16,PM25
105t,2026-09-01,00:00,15,8.7,-999,-1,9,13,1,0.10,4,9,0,0,15,PM25
106t,2026-09-01,00:00,11,6.6,-999,-1,7,10,2,0.30,0,1,0,0,11,PM25
107t,2026-09-01,00:00,16,9.3,-1,-1,14,20,11,1.90,2,4,0,1,16,PM25
108t,2026-09-01,00:00,16,9.4,-1,-1,16,22,13,2.20,0,0,1,2,16,PM25
109t,2026-09-01,00:00,12,7.0,-1,-1,16,22,1,0.10,0,1,1,3,16,O3
110t,2026-09-01,00:00,14,8.2,-999,-1,24,33,1,0.10,0,1,-1,-1,24,O3
111t,2026-09-01,00:00,10,6.2,-999,-1,19,26,1,0.10,0,0,0,0,19,O3
112t,2026-09-01,00:00,9,5.3,-999,-1,17,24,0,0.00,0,0,0,1,17,O3
113t,2026-09-01,00:00,15,8.8,10,20,25,35,1,0.10,0,0,0,0,25,O3
114t,2026-09-01,00:00,12,7.2,9,18,17,24,2,0.40,1,2,0,1,17,O3
115t,2026-09-01,00:00,14,8.3,9,17,8,11,1,0.20,0,1,0,1,14,PM25
116t,2026-09-01,00:00,16,9.3,12,23,12,17,1,0.10,1,3,0,1,16,PM25
117t,2026-09-01,00:00,20,11.8,-999,-1,6,9,1,0.20,1,2,0,1,20,PM25
118t,2026-09-01,00:00,15,9.1,-1,-1,4,5,-1,-1,-1,-1,-1,-1,15,PM25
119t,2026-09-01,00:00,16,9.5,-1,-1,8,11,8,1.40,3,6,1,2,16,PM25
120t,2026-09-01,00:00,19,11.2,-1,-1,11,16,3,0.60,1,3,0,0,19,PM25
121t,2026-09-01,00:00,24,14.3,-1,-1,12,17,2,0.30,5,11,0,0,24,PM25
13t,2026-09-01,00:00,15,9.2,14,27,5,7,2,0.40,-1,-1,-1,-1,15,PM25
14t,2026-09-01,00:00,35,19.0,-1,-1,4,5,3,0.50,5,13,1,2,35,PM25
16t,2026-09-01,00:00,22,13.1,13,25,-1,-1,-1,-1,-1,-1,-1,-1,22,PM25
17t,2026-09-01,00:00,27,15.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,PM25
18t,2026-09-01,00:00,43,22.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,43,PM25
19t,2026-09-01,00:00,25,14.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,PM25
20t,2026-09-01,00:00,38,20.1,16,32,-1,-1,-1,-1,-1,-1,-1,-1,38,PM25
21t,2026-09-01,00:00,17,10.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,PM25
22t,2026-09-01,00:00,19,11.6,13,26,-1,-1,-1,-1,-1,-1,-1,-1,19,PM25
24t,2026-09-01,00:00,26,15.2,26,51,-1,-1,-1,-1,-1,-1,-1,-1,26,PM10
25t,2026-09-01,00:00,17,10.3,11,22,-1,-1,-999,-1,-1,-1,-999,-1,17,PM25
26t,2026-09-01,00:00,28,16.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,PM25
27t,2026-09-01,00:00,30,16.6,-1,-1,-1,-1,-999,-1,-1,-1,-1,-1,30,PM25
28t,2026-09-01,00:00,38,20.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,38,PM25
30t,2026-09-01,00:00,23,13.8,22,44,9,13,0,0.00,0,1,0,0,23,PM25
31t,2026-09-01,00:00,47,23.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,47,PM25
34t,2026-09-01,00:00,60,27.3,-1,-1,-1,-1,-1,-1,-1,-1,-999,-1,60,PM25
35t,2026-09-01,00:00,27,15.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,PM25
36t,2026-09-01,00:00,14,8.6,-1,-1,-999,-1,-1,-1,-1,-1,-1,-1,14,PM25
40t,2026-09-01,00:00,17,10.0,-1,-1,-1,-1,-999,-1,-1,-1,-1,-1,17,PM25
46t,2026-09-01,00:00,28,16.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,PM25
47t,2026-09-01,00:00,32,17.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32,PM25
50t,2026-09-01,00:00,39,20.3,-1,-1,-999,-1,-1,-1,-1,-1,-999,-1,39,PM25
