station_id,date,time,pm25_aqi,pm25_value,pm10_aqi,pm10_value,o3_aqi,o3_value,co_aqi,co_value,no2_aqi,no2_value,so2_aqi,so2_value,aqi,aqi_param
02t,2026-06-01,00:00,25,14.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,PM25
08t,2026-06-01,00:00,44,22.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,44,PM25
100t,2026-06-01,00:00,21,12.3,17,33,11,16,1,0.10,4,9,0,0,21,PM25
101t,2026-06-01,00:00,16,9.6,9,18,45,47,13,2.20,-1,-1,0,0,45,O3
102t,2026-06-01,00:00,29,16.4,15,30,-1,-1,-1,-1,-1,-1,0,1,29,PM25
103t,2026-06-01,00:00,20,11.8,16,31,-1,-1,2,0.30,4,9,0,0,20,PM25
104t,2026-06-01,00:00,38,19.9,-1,-1,48,49,1,0.20,0,1,0,1,48,O3
105t,2026-06-01,00:00,20,12.0,-999,-1,16,22,1,0.20,3,7,0,1,20,PM25
106t,2026-06-01,00:00,15,8.8,-999,-1,10,14,2,0.30,2,5,0,0,15,PM25
107t,2026-06-01,00:00,32,17.4,-1,-1,38,43,2,0.30,4,9,0,0,38,O3
108t,2026-06-01,00:00,21,12.7,-1,-1,47,48,7,1.20,0,1,0,1,47,O3
109t,2026-06-01,00:00,16,9.5,-1,-1,22,31,1,0.20,-1,-1,-1,-1,22,O3
110t,2026-06-01,00:00,31,17.3,-999,-1,24,34,2,0.40,1,3,0,0,31,PM25
111t,2026-06-01,00:00,18,10.6,-999,-1,19,27,2,0.30,0,0,0,0,19,O3
112t,2026-06-01,00:00,13,8.0,-999,-1,19,27,1,0.10,3,7,0,0,19,O3
113t,2026-06-01,00:00,35,19.0,16,31,61,55,1,0.10,0,0,0,1,61,O3
114t,2026-06-01,00:00,25,14.7,17,33,14,20,3,0.50,3,8,0,1,25,PM25
115t,2026-06-01,00:00,20,11.8,12,23,25,35,2,0.40,0,1,0,1,25,O3
116t,2026-06-01,00:00,38,20.1,23,46,47,48,1,0.20,0,1,0,1,47,O3
117t,2026-06-01,00:00,25,14.9,-999,-1,19,26,1,0.20,1,2,1,2,25,PM25
