station_id,date,time,pm25_aqi,pm25_value,pm10_aqi,pm10_value,o3_aqi,o3_value,co_aqi,co_value,no2_aqi,no2_value,so2_aqi,so2_value,aqi,aqi_param
02t,2026-03-01,00:00,17,10.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,PM25
08t,2026-03-01,00:00,20,12.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,PM25
100t,2026-03-01,00:00,24,14.4,16,32,9,12,1,0.20,4,10,0,0,24,PM25
101t,2026-03-01,00:00,24,14.6,12,24,35,41,9,1.50,2,4,0,0,35,O3
102t,2026-03-01,00:00,55,26.2,21,41,-1,-1,5,0.80,4,9,0,1,55,PM25
103t,2026-03-01,00:00,6,3.8,15,29,9,12,1,0.20,6,15,0,0,15,PM10
104t,2026-03-01,00:00,51,25.1,-1,-1,19,26,1,0.20,3,7,0,1,51,PM25
105t,2026-03-01,00:00,23,14.0,-999,-1,14,20,1,0.20,3,8,0,0,23,PM25
106t,2026-03-01,00:00,27,15.5,-999,-1,6,8,3,0.50,1,2,0,0,27,PM25
107t,2026-03-01,00:00,50,24.9,25,50,31,39,2,0.40,4,10,0,1,50,PM25
108t,2026-03-01,00:00,40,20.9,-1,-1,22,31,5,0.80,2,5,0,1,40,PM25
109t,2026-03-01,00:00,36,19.2,-1,-1,19,26,2,0.40,8,20,1,3,36,PM25
110t,2026-03-01,00:00,35,18.9,-999,-1,21,29,2,0.40,8,18,0,1,35,PM25
111t,2026-03-01,00:00,31,17.1,-999,-1,18,25,2,0.30,2,4,0,0,31,PM25
112t,2026-03-01,00:00,35,18.9,-999,-1,16,22,2,0.30,3,7,0,0,35,PM25
113t,2026-03-01,00:00,44,22.5,17,33,51,51,2,0.30,0,0,0,1,51,O3
114t,2026-03-01,00:00,39,20.5,19,37,33,40,2,0.40,2,5,0,1,39,PM25
115t,2026-03-01,00:00,35,19.0,16,31,21,30,2,0.40,1,3,0,1,35,PM25
116t,2026-03-01,00:00,24,14.5,17,34,15,21,1,0.20,3,8,0,1,24,PM25
117t,2026-03-01,00:00,30,16.7,-999,-1,18,25,1,0.20,3,6,0,1,30,PM25
118t,2026-03-01,00:00,14,8.2,-1,-1,9,13,-1,-1,-1,-1,-1,-1,14,PM25
119t,2026-03-01,00:00,16,9.4,-1,-1,15,21,2,0.40,2,4,0,0,16,PM25
120t,2026-03-01,00:00,18,11.0,-1,-1,14,20,4,0.70,1,3,0,0,18,PM25
121t,2026-03-01,00:00,19,11.2,-1,-1,11,16,2,0.30,1,2,1,2,19,PM25
13t,2026-03-01,00:00,17,9.9,9,17,11,16,2,0.30,3,7,0,1,17,PM25
14t,2026-03-01,00:00,23,13.6,-1,-1,8,11,2,0.40,3,6,0,1,23,PM25
16t,2026-03-01,00:00,15,9.2,9,18,-1,-1,-1,-1,-1,-1,-1,-1,15,PM25
17t,2026-03-01,00:00,21,12.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,PM25
