station_id,date,time,pm25_aqi,pm25_value,pm10_aqi,pm10_value,o3_aqi,o3_value,co_aqi,co_value,no2_aqi,no2_value,so2_aqi,so2_value,aqi,aqi_param
02t,2026-07-01,00:00,16,9.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,PM25
08t,2026-07-01,00:00,25,14.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,PM25
100t,2026-07-01,00:00,11,6.6,14,27,6,8,1,0.20,-1,-1,0,0,14,PM10
101t,2026-07-01,00:00,9,5.1,6,12,29,38,14,2.40,1,2,0,0,29,O3
102t,2026-07-01,00:00,21,12.8,10,20,-1,-1,-1,-1,-1,-1,0,1,21,PM25
103t,2026-07-01,00:00,22,12.9,10,20,-1,-1,2,0.30,4,10,0,0,22,PM25
104t,2026-07-01,00:00,14,8.3,-1,-1,17,24,1,0.10,1,2,0,1,17,O3
105t,2026-07-01,00:00,14,8.3,-999,-1,16,23,1,0.10,3,7,0,1,16,O3
106t,2026-07-01,00:00,12,6.9,-999,-1,4,5,2,0.30,1,2,0,0,12,PM25
107t,2026-07-01,00:00,20,12.1,-1,-1,19,26,1,0.20,3,6,0,0,20,PM25
108t,2026-07-01,00:00,13,7.9,-1,-1,17,24,10,1.80,3,6,0,1,17,O3
109t,2026-07-01,00:00,12,7.1,-1,-1,19,26,1,0.10,1,2,1,2,19,O3
110t,2026-07-01,00:00,11,6.8,-999,-1,20,28,2,0.30,-1,-1,-1,-1,20,O3
111t,2026-07-01,00:00,7,4.1,-999,-1,21,30,1,0.20,1,2,0,0,21,O3
112t,2026-07-01,00:00,8,4.5,-999,-1,18,25,0,0.00,0,1,9,37,18,O3
113t,2026-07-01,00:00,14,8.1,9,17,25,35,1,0.20,-1,-1,-1,-1,25,O3
114t,2026-07-01,00:00,15,8.7,9,18,15,21,2,0.40,1,3,0,0,15,PM25
115t,2026-07-01,00:00,13,7.7,8,16,13,18,1,0.20,0,0,0,1,13,PM25
116t,2026-07-01,00:00,9,5.2,8,15,19,26,1,0.10,1,3,0,1,19,O3
117t,2026-07-01,00:00,16,9.7,-999,-1,10,14,1,0.20,1,2,0,1,16,PM25
118t,2026-07-01,00:00,7,4.3,-1,-1,8,11,-1,-1,4,9,0,0,8,O3
119t,2026-07-01,00:00,9,5.5,-1,-1,14,20,5,0.90,0,1,1,2,14,O3
120t,2026-07-01,00:00,10,6.1,-1,-1,11,16,3,0.50,6,14,0,0,11,O3
121t,2026-07-01,00:00,13,7.5,-1,-1,8,11,1,0.20,2,5,1,3,13,PM25
13t,2026-07-01,00:00,8,4.5,7,14,15,21,2,0.30,4,9,1,2,15,O3
14t,2026-07-01,00:00,22,13.0,-1,-1,8,11,2,0.40,6,15,1,4,22,PM25
16t,2026-07-01,00:00,18,10.7,10,20,-1,-1,-1,-1,-1,-1,-1,-1,18,PM25
17t,2026-07-01,00:00,15,9.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,PM25
