station_id,date,time,pm25_aqi,pm25_value,pm10_aqi,pm10_value,o3_aqi,o3_value,co_aqi,co_value,no2_aqi,no2_value,so2_aqi,so2_value,aqi,aqi_param
02t,2026-02-01,00:00,86,33.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,86,PM25
08t,2026-02-01,00:00,106,39.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,106,PM25
100t,2026-02-01,00:00,49,24.4,26,51,19,27,2,0.30,5,13,0,0,49,PM25
101t,2026-02-01,00:00,117,43.6,37,64,64,56,8,1.40,1,3,0,0,117,PM25
102t,2026-02-01,00:00,46,23.5,29,55,51,51,2,0.40,1,2,0,1,51,O3
103t,2026-02-01,00:00,39,20.4,27,52,14,20,2,0.30,5,12,0,0,39,PM25
104t,2026-02-01,00:00,170,63.6,-1,-1,45,47,2,0.40,17,41,1,3,170,PM25
105t,2026-02-01,00:00,66,29.0,-999,-1,43,46,2,0.30,4,10,-1,-1,66,PM25
106t,2026-02-01,00:00,89,34.8,-999,-1,5,7,2,0.40,2,5,0,0,89,PM25
107t,2026-02-01,00:00,100,37.4,35,62,48,49,2,0.30,1,2,1,2,100,PM25
108t,2026-02-01,00:00,81,32.8,-1,-1,25,35,3,0.60,2,4,0,1,81,PM25
109t,2026-02-01,00:00,43,22.1,-1,-1,9,13,1,0.20,1,3,1,2,43,PM25
110t,2026-02-01,00:00,48,24.1,-999,-1,36,42,2,0.30,-1,-1,-1,-1,48,PM25
111t,2026-02-01,00:00,135,50.3,-999,-1,28,37,5,0.90,1,2,0,0,135,PM25
112t,2026-02-01,00:00,70,29.8,-999,-1,22,31,1,0.20,2,5,0,0,70,PM25
113t,2026-02-01,00:00,76,31.5,28,54,51,51,2,0.30,0,0,0,1,76,PM25
114t,2026-02-01,00:00,95,36.3,36,63,31,39,2,0.30,2,4,0,1,95,PM25
115t,2026-02-01,00:00,79,32.3,23,45,59,54,3,0.50,1,2,0,1,79,PM25
116t,2026-02-01,00:00,169,63.1,89,111,66,57,3,0.60,11,27,0,1,169,PM25
117t,2026-02-01,00:00,145,54.1,-999,-1,19,26,4,0.70,11,26,0,1,145,PM25
118t,2026-02-01,00:00,37,19.6,-1,-1,35,41,-1,-1,1,3,0,0,37,PM25
119t,2026-02-01,00:00,25,15.0,-1,-1,26,36,1,0.20,1,3,1,2,26,O3
120t,2026-02-01,00:00,21,12.8,-1,-1,12,17,3,0.50,5,13,0,1,21,PM25
121t,2026-02-01,00:00,21,12.7,-1,-1,1,1,1,0.20,1,2,1,2,21,PM25
13t,2026-02-01,00:00,85,33.8,32,58,45,47,3,0.60,12,29,0,1,85,PM25
14t,2026-02-01,00:00,149,55.7,-1,-1,26,36,5,0.80,12,29,1,3,149,PM25
16t,2026-02-01,00:00,61,27.7,21,42,-1,-1,-1,-1,-1,-1,-1,-1,61,PM25
17t,2026-02-01,00:00,72,30.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,72,PM25
18t,2026-02-01,00:00,119,44.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,119,PM25
19t,2026-02-01,00:00,104,38.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,104,PM25
21t,2026-02-01,00:00,120,44.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,120,PM25
22t,2026-02-01,00:00,190,71.4,77,102,-1,-1,-1,-1,-1,-1,-1,-1,190,PM25
24t,2026-02-01,00:00,187,70.0,227,232,-1,-1,-1,-1,-1,-1,-1,-1,227,PM10
26t,2026-02-01,00:00,138,51.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,138,PM25
27t,2026-02-01,00:00,85,33.8,-1,-1,-1,-1,-999,-1,-1,-1,-1,-1,85,PM25
28t,2026-02-01,00:00,104,38.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,104,PM25
29t,2026-02-01,00:00,29,16.4,44,73,-1,-1,-1,-1,-1,-1,-1,-1,44,PM10
30t,2026-02-01,00:00,44,22.6,31,57,41,45,2,0.30,0,0,0,0,44,PM25
31t,2026-02-01,00:00,81,32.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,81,PM25
34t,2026-02-01,00:00,106,39.4,-1,-1,-1,-1,-1,-1,-1,-1,-999,-1,106,PM25
35t,2026-02-01,00:00,67,29.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67,PM25
40t,2026-02-01,00:00,91,35.2,-1,-1,-1,-1,-999,-1,-1,-1,-1,-1,91,PM25
46t,2026-02-01,00:00,134,49.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,134,PM25
47t,2026-02-01,00:00,120,44.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,120,PM25
52t,2026-02-01,00:00,108,40.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,108,PM25
53t,2026-02-01,00:00,110,41.1,-1,-1,-999,-1,-1,-1,-1,-1,-999,-1,110,PM25
57t,2026-02-01,00:00,77,31.6,19,37,-1,-1,-1,-1,-1,-1,-999,-1,77,PM25
58t,2026-02-01,00:00,20,12.2,20,39,-1,-1,-1,-1,-1,-1,-999,-1,20,PM10
59t,2026-02-01,00:00,78,32.0,28,53,50,50,5,0.90,6,14,-999,-1,78,PM25
60t,2026-02-01,00:00,130,48.7,-1,-1,-1,-1,-999,-1,-1,-1,-1,-1,130,PM25
61t,2026-02-01,00:00,82,33.0,-1,-1,-1,-1,-999,-1,-1,-1,-1,-1,82,PM25
67t,2026-02-01,00:00,124,46.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,124,PM25
68t,2026-02-01,00:00,104,38.7,38,65,16,23,-1,-1,-1,-1,-1,-1,104,PM25
69t,2026-02-01,00:00,103,38.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,103,PM25
70t,2026-02-01,00:00,100,37.5,-1,-1,-1,-1,-1,-1,-1,-1,-999,-1,100,PM25
71t,2026-02-01,00:00,151,56.5,57,86,47,48,0,0.00,2,4,2,9,151,PM25
72t,2026-02-01,00:00,128,47.9,42,70,-1,-1,-1,-1,0,0,-1,-1,128,PM25
73t,2026-02-01,00:00,91,35.3,-1,-1,-1,-1,-1,-1,-1,-1,0,0,91,PM25
74t,2026-02-01,00:00,86,34.0,35,62,-1,-1,-1,-1,-1,-1,-1,-1,86,PM25
75t,2026-02-01,00:00,107,39.9,-1,-1,-1,-1,-1,-1,1,2,1,3,107,PM25
77t,2026-02-01,00:00,114,42.6,38,66,-1,-1,-999,-1,-1,-1,-1,-1,114,PM25
