station_id,date,time,pm25_aqi,pm25_value,pm10_aqi,pm10_value,o3_aqi,o3_value,co_aqi,co_value,no2_aqi,no2_value,so2_aqi,so2_value,aqi,aqi_param
02t,2026-05-01,00:00,36,19.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36,PM25
05t,2026-05-01,00:00,37,19.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,37,PM25
08t,2026-05-01,00:00,46,23.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,46,PM25
100t,2026-05-01,00:00,28,16.0,18,35,9,12,2,0.40,6,15,0,0,28,PM25
101t,2026-05-01,00:00,25,15.0,12,24,66,57,12,2.10,2,4,0,0,66,O3
102t,2026-05-01,00:00,28,16.1,14,27,-1,-1,-1,-1,-1,-1,0,1,28,PM25
103t,2026-05-01,00:00,29,16.2,17,34,-1,-1,1,0.20,5,13,0,0,29,PM25
104t,2026-05-01,00:00,82,32.9,-1,-1,48,49,2,0.30,3,7,0,1,82,PM25
105t,2026-05-01,00:00,30,16.9,-999,-1,20,28,1,0.20,3,8,0,0,30,PM25
106t,2026-05-01,00:00,22,13.4,-999,-1,10,14,3,0.50,3,7,0,0,22,PM25
107t,2026-05-01,00:00,32,17.7,-1,-1,47,48,2,0.30,3,7,0,1,47,O3
108t,2026-05-01,00:00,32,17.5,-1,-1,56,53,6,1.00,1,3,0,1,56,O3
109t,2026-05-01,00:00,31,17.0,-1,-1,40,44,2,0.40,1,3,1,3,40,O3
110t,2026-05-01,00:00,25,15.0,-999,-1,40,44,2,0.30,1,3,0,0,40,O3
111t,2026-05-01,00:00,24,14.5,-999,-1,41,45,1,0.20,2,4,0,0,41,O3
112t,2026-05-01,00:00,48,24.0,-999,-1,36,42,1,0.20,3,6,0,1,48,PM25
113t,2026-05-01,00:00,34,18.5,15,30,79,62,1,0.20,0,0,0,1,79,O3
114t,2026-05-01,00:00,48,24.2,22,43,40,44,3,0.50,2,5,-1,-1,48,PM25
115t,2026-05-01,00:00,22,12.9,12,24,50,50,2,0.40,3,7,0,1,50,O3
116t,2026-05-01,00:00,68,29.3,25,50,50,50,2,0.30,2,4,0,1,68,PM25
117t,2026-05-01,00:00,93,35.7,-999,-1,28,37,2,0.40,3,8,0,1,93,PM25
118t,2026-05-01,00:00,21,12.3,-1,-1,12,17,-1,-1,3,8,0,0,21,PM25
119t,2026-05-01,00:00,20,12.2,-1,-1,19,27,3,0.50,1,3,0,1,20,PM25
120t,2026-05-01,00:00,20,12.2,-1,-1,9,12,4,0.70,3,6,0,0,20,PM25
