station_id,date,time,pm25_aqi,pm25_value,pm10_aqi,pm10_value,o3_aqi,o3_value,co_aqi,co_value,no2_aqi,no2_value,so2_aqi,so2_value,aqi,aqi_param
02t,2026-04-01,00:00,29,16.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29,PM25
08t,2026-04-01,00:00,43,22.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,43,PM25
100t,2026-04-01,00:00,24,14.2,15,30,15,21,1,0.20,3,6,0,0,24,PM25
101t,2026-04-01,00:00,55,26.1,21,41,64,56,10,1.80,2,4,0,0,64,O3
102t,2026-04-01,00:00,89,34.6,33,60,-1,-1,2,0.30,3,7,0,1,89,PM25
103t,2026-04-01,00:00,29,16.2,17,33,17,24,2,0.30,3,8,0,0,29,PM25
104t,2026-04-01,00:00,47,23.9,-1,-1,61,55,2,0.30,3,6,1,2,61,O3
105t,2026-04-01,00:00,38,20.2,-999,-1,36,42,2,0.30,4,9,1,2,38,PM25
106t,2026-04-01,00:00,216,90.9,-999,-1,15,21,5,0.80,3,6,0,0,216,PM25
107t,2026-04-01,00:00,94,36.1,-1,-1,33,40,3,0.60,4,10,0,0,94,PM25
108t,2026-04-01,00:00,88,34.4,-1,-1,50,50,8,1.40,2,4,0,1,88,PM25
109t,2026-04-01,00:00,62,27.9,-1,-1,47,48,2,0.40,3,7,1,3,62,PM25
110t,2026-04-01,00:00,97,36.7,-999,-1,40,44,2,0.40,6,15,0,0,97,PM25
111t,2026-04-01,00:00,50,25.0,-999,-1,41,45,2,0.30,0,0,0,0,50,PM25
112t,2026-04-01,00:00,71,30.1,-999,-1,21,29,1,0.20,-1,-1,-1,-1,71,PM25
113t,2026-04-01,00:00,105,39.0,36,63,77,61,2,0.30,0,0,0,0,105,PM25
114t,2026-04-01,00:00,91,35.1,38,65,61,55,1,0.20,7,17,0,0,91,PM25
115t,2026-04-01,00:00,111,41.2,29,55,90,66,3,0.60,2,5,0,1,111,PM25
116t,2026-04-01,00:00,44,22.6,23,45,40,44,2,0.30,3,6,0,0,44,PM25
117t,2026-04-01,00:00,106,39.6,-999,-1,25,35,3,0.50,3,6,1,2,106,PM25
118t,2026-04-01,00:00,24,14.2,-1,-1,12,17,2,0.30,3,7,0,1,24,PM25
119t,2026-04-01,00:00,23,13.8,-1,-1,21,30,5,0.80,1,3,0,1,23,PM25
120t,2026-04-01,00:00,20,12.1,-1,-1,14,19,3,0.60,2,4,0,1,20,PM25
121t,2026-04-01,00:00,20,12.0,-1,-1,16,22,1,0.20,1,3,1,2,20,PM25
13t,2026-04-01,00:00,22,13.1,14,28,21,30,2,0.40,2,5,0,1,22,PM25
14t,2026-04-01,00:00,27,15.6,-1,-1,12,17,2,0.40,4,9,1,3,27,PM25
16t,2026-04-01,00:00,24,14.3,12,23,-1,-1,-1,-1,-1,-1,-1,-1,24,PM25
17t,2026-04-01,00:00,30,16.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,PM25
18t,2026-04-01,00:00,48,24.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,48,PM25
19t,2026-04-01,00:00,36,19.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36,PM25
20t,2026-04-01,00:00,52,25.3,22,43,-1,-1,-1,-1,-1,-1,-1,-1,52,PM25
21t,2026-04-01,00:00,39,20.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39,PM25
22t,2026-04-01,00:00,39,20.4,33,60,-1,-1,-1,-1,-1,-1,-1,-1,39,PM25
24t,2026-04-01,00:00,67,29.2,41,69,-1,-1,-1,-1,-1,-1,-1,-1,67,PM25
25t,2026-04-01,00:00,47,23.9,20,39,-1,-1,-999,-1,-1,-1,-999,-1,47,PM25
26t,2026-04-01,00:00,56,26.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,56,PM25
27t,2026-04-01,00:00,28,15.8,-1,-1,-1,-1,-999,-1,-1,-1,-1,-1,28,PM25
28t,2026-04-01,00:00,40,20.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,PM25
29t,2026-04-01,00:00,30,16.7,21,42,-1,-1,-1,-1,-1,-1,-1,-1,30,PM25
30t,2026-04-01,00:00,25,14.8,16,32,22,31,1,0.10,0,1,0,0,25,PM25
31t,2026-04-01,00:00,23,13.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23,PM25
32t,2026-04-01,00:00,26,15.3,-1,-1,-1,-1,-999,-1,-1,-1,-1,-1,26,PM25
33t,2026-04-01,00:00,31,17.2,-1,-1,-1,-1,-999,-1,-1,-1,-999,-1,31,PM25
34t,2026-04-01,00:00,34,18.6,-1,-1,-1,-1,-1,-1,-1,-1,-999,-1,34,PM25
35t,2026-04-01,00:00,233,107.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,233,PM25
36t,2026-04-01,00:00,205,79.0,-1,-1,-999,-1,-1,-1,-1,-1,-1,-1,205,PM25
37t,2026-04-01,00:00,219,93.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,219,PM25
38t,2026-04-01,00:00,215,89.1,-1,-1,61,55,5,0.80,3,8,0,1,215,PM25
39t,2026-04-01,00:00,215,89.5,-1,-1,-1,-1,-999,-1,-1,-1,-1,-1,215,PM25
40t,2026-04-01,00:00,215,89.4,-1,-1,-1,-1,-999,-1,-1,-1,-1,-1,215,PM25
41t,2026-04-01,00:00,144,53.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,144,PM25
47t,2026-04-01,00:00,59,27.1,-1,-1,-1,-1,-1,-1,5,13,-1,-1,59,PM25
50t,2026-04-01,00:00,35,18.8,-1,-1,-999,-1,-1,-1,-1,-1,-999,-1,35,PM25
52t,2026-04-01,00:00,35,18.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,35,PM25
53t,2026-04-01,00:00,34,18.5,-1,-1,-999,-1,-1,-1,-1,-1,-999,-1,34,PM25
57t,2026-04-01,00:00,255,129.0,124,135,-1,-1,-1,-1,-1,-1,-999,-1,255,PM25
58t,2026-04-01,00:00,261,135.4,263,305,-1,-1,-1,-1,-1,-1,-999,-1,263,PM10
59t,2026-04-01,00:00,27,15.7,16,31,21,29,3,0.60,2,5,-999,-1,27,PM25
60t,2026-04-01,00:00,34,18.3,-1,-1,-1,-1,-999,-1,-1,-1,-1,-1,34,PM25
61t,2026-04-01,00:00,29,16.3,-1,-1,-1,-1,-999,-1,-1,-1,-1,-1,29,PM25
67t,2026-04-01,00:00,226,100.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,226,PM25
68t,2026-04-01,00:00,221,95.3,92,114,-1,-1,-1,-1,-1,-1,-1,-1,221,PM25
69t,2026-04-01,00:00,211,85.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,211,PM25
70t,2026-04-01,00:00,251,125.2,-1,-1,-1,-1,-1,-1,-1,-1,-999,-1,251,PM25
71t,2026-04-01,00:00,44,22.6,20,39,9,12,2,0.30,2,5,3,10,44,PM25
72t,2026-04-01,00:00,194,72.7,60,88,-1,-1,-1,-1,0,0,-1,-1,194,PM25
73t,2026-04-01,00:00,344,218.8,-1,-1,-1,-1,-1,-1,-1,-1,0,0,344,PM25
74t,2026-04-01,00:00,35,18.8,17,33,-1,-1,-1,-1,-1,-1,-1,-1,35,PM25
75t,2026-04-01,00:00,231,105.7,-1,-1,-1,-1,-1,-1,2,5,1,3,231,PM25
76t,2026-04-01,00:00,183,68.7,-1,-1,-1,-1,-1,-1,-1,-1,-999,-1,183,PM25
77t,2026-04-01,00:00,57,26.7,21,42,-1,-1,-999,-1,-1,-1,-1,-1,57,PM25
78t,2026-04-01,00:00,18,10.5,-1,-1,-999,-1,-999,-1,-999,-1,-999,-1,18,PM25
79t,2026-04-01,00:00,55,26.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,55,PM25
81t,2026-04-01,00:00,32,17.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32,PM25
82t,2026-04-01,00:00,191,71.6,136,142,51,51,3,0.50,5,11,-1,-1,191,PM25
83t,2026-04-01,00:00,131,48.8,46,75,-1,-1,-1,-1,-1,-1,-1,-1,131,PM25
84t,2026-04-01,00:00,69,29.6,21,41,20,28,-1,-1,-1,-1,-1,-1,69,PM25
85t,2026-04-01,00:00,72,30.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,72,PM25
86t,2026-04-01,00:00,166,62.3,119,132,-1,-1,6,1.00,6,15,-1,-1,166,PM25
87t,2026-04-01,00:00,33,18.1,-1,-1,-1,-1,-1,-1,0,1,0,0,33,PM25
88t,2026-04-01,00:00,192,72.1,84,107,-1,-1,-1,-1,15,35,-1,-1,192,PM25
90t,2026-04-01,00:00,72,30.4,24,48,-1,-1,-1,-1,-1,-1,-1,-1,72,PM25
91t,2026-04-01,00:00,117,43.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,117,PM25
92t,2026-04-01,00:00,149,55.6,51,81,38,43,-1,-1,-1,-1,-1,-1,149,PM25
93t,2026-04-01,00:00,20,12.1,14,28,-1,-1,0,0.00,2,4,0,0,20,PM25
94t,2026-04-01,00:00,133,49.8,43,71,-1,-1,-1,-1,-1,-1,-1,-1,133,PM25
95t,2026-04-01,00:00,98,37.1,26,51,24,34,6,1.00,4,10,1,3,98,PM25
96t,2026-04-01,00:00,111,41.4,38,65,50,50,15,2.60,3,7,1,2,111,PM25
97t,2026-04-01,00:00,89,34.8,24,48,33,40,2,0.40,3,6,1,2,89,PM25
98t,2026-04-01,00:00,114,42.4,35,62,66,57,3,0.60,-1,-1,1,2,114,PM25
99t,2026-04-01,00:00,61,27.7,23,45,43,46,2,0.40,5,12,1,3,61,PM25
bkp100t,2026-04-01,00:00,34,18.5,-999,-1,-999,-1,-999,-1,-999,-1,-999,-1,34,PM25
bkp101t,2026-04-01,00:00,42,21.5,17,34,-999,-1,-999,-1,-999,-1,-999,-1,42,PM25
bkp102t,2026-04-01,00:00,26,15.2,22,44,-999,-1,-999,-1,-999,-1,-999,-1,26,PM25
bkp103t,2026-04-01,00:00,44,22.7,-999,-1,-999,-1,-999,-1,-999,-1,-999,-1,44,PM25
bkp104t,2026-04-01,00:00,25,15.0,15,30,-999,-1,-999,-1,-999,-1,-999,-1,25,PM25
bkp105t,2026-04-01,00:00,43,22.1,-999,-1,-999,-1,-999,-1,-999,-1,-999,-1,43,PM25
bkp115t,2026-04-01,00:00,32,17.7,-999,-1,-999,-1,-999,-1,-999,-1,-999,-1,32,PM25
bkp118t,2026-04-01,00:00,38,19.9,-999,-1,-999,-1,-999,-1,-999,-1,-999,-1,38,PM25
bkp119t,2026-04-01,00:00,25,14.9,-999,-1,-999,-1,-999,-1,-999,-1,-999,-1,25,PM25
bkp120t,2026-04-01,00:00,33,18.0,-999,-1,-999,-1,-999,-1,-999,-1,-999,-1,33,PM25
bkp121t,2026-04-01,00:00,24,14.2,-999,-1,-999,-1,-999,-1,-999,-1,-999,-1,24,PM25
bkp122t,2026-04-01,00:00,29,16.4,-999,-1,-999,-1,-999,-1,-999,-1,-999,-1,29,PM25
bkp123t,2026-04-01,00:00,28,15.9,-999,-1,-999,-1,-999,-1,-999,-1,-999,-1,28,PM25
bkp124t,2026-04-01,00:00,35,19.0,-999,-1,-999,-1,-999,-1,-999,-1,-999,-1,35,PM25
bkp125t,2026-04-01,00:00,41,21.2,-999,-1,-999,-1,-999,-1,-999,-1,-999,-1,41,PM25
bkp126t,2026-04-01,00:00,20,12.0,-999,-1,-999,-1,-999,-1,-999,-1,-999,-1,20,PM25
bkp127t,2026-04-01,00:00,28,15.9,-999,-1,-999,-1,-999,-1,-999,-1,-999,-1,28,PM25
bkp128t,2026-04-01,00:00,24,14.3,-999,-1,-999,-1,-999,-1,-999,-1,-999,-1,24,PM25
bkp129t,2026-04-01,00:00,33,17.8,-999,-1,-999,-1,-999,-1,-999,-1,-999,-1,33,PM25
bkp130t,2026-04-01,00:00,31,17.3,-999,-1,-999,-1,-999,-1,-999,-1,-999,-1,31,PM25
bkp131t,2026-04-01,00:00,28,15.9,-999,-1,-999,-1,-999,-1,-999,-1,-999,-1,28,PM25
bkp56t,2026-04-01,00:00,22,12.9,21,42,-999,-1,-999,-1,-999,-1,-999,-1,22,PM25
bkp57t,2026-04-01,00:00,27,15.7,24,48,-999,-1,-999,-1,-999,-1,-999,-1,27,PM25
bkp58t,2026-04-01,00:00,40,20.9,33,59,-999,-1,-999,-1,-999,-1,-999,-1,40,PM25
bkp59t,2026-04-01,00:00,43,22.1,15,29,-999,-1,-999,-1,-999,-1,-999,-1,43,PM25
bkp60t,2026-04-01,00:00,24,14.3,20,39,-999,-1,-999,-1,-999,-1,-999,-1,24,PM25
bkp61t,2026-04-01,00:00,28,16.0,-999,-1,-999,-1,-999,-1,-999,-1,-999,-1,28,PM25
bkp62t,2026-04-01,00:00,40,21.0,-999,-1,-999,-1,-999,-1,-999,-1,-999,-1,40,PM25
bkp63t,2026-04-01,00:00,37,19.6,-999,-1,-999,-1,-999,-1,-999,-1,-999,-1,37,PM25
bkp64t,2026-04-01,00:00,41,21.3,-999,-1,-999,-1,-999,-1,-999,-1,-999,-1,41,PM25
bkp65t,2026-04-01,00:00,41,21.3,-999,-1,-999,-1,-999,-1,-999,-1,-999,-1,41,PM25
bkp66t,2026-04-01,00:00,42,21.6,-999,-1,-999,-1,-999,-1,-999,-1,-999,-1,42,PM25
bkp67t,2026-04-01,00:00,41,21.2,-999,-1,-999,-1,-999,-1,-999,-1,-999,-1,41,PM25
bkp69t,2026-04-01,00:00,32,17.4,-999,-1,-999,-1,-999,-1,-999,-1,-999,-1,32,PM25
bkp70t,2026-04-01,00:00,26,15.1,18,35,-999,-1,-999,-1,-999,-1,-999,-1,26,PM25
